Carrier,Reg_Year,Reg_Month,Device_Model,Count
Other,2005,9,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
Other,2005,11,ASDASDASDGH-P10ASDBASDASDASD123CIN,1
Other,2005,12,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,2
Other,2005,12,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
Other,2006,1,ASDASDASDGH-P10ASDBASDASDASD123CIN,1
Other,2006,1,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,2
Other,2006,1,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
Other,2006,2,ASDASDASDPH-123900ZKASDASDASDX123R,2
Other,2006,2,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
Other,2006,3,ASDASDASDPH-123800IASDASDASDASDASDASDX123R,1
Other,2006,3,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,2
Other,2006,4,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
Other,2006,4,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
Other,2006,5,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
Other,2006,6,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
Other,2006,9,ASDASDASDPH-123900ZKASDASDASDX123R,1
Other,2006,11,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
SPRINT,2006,12,ASDASDASDPH-1236QWE0ZK123ASDASDASDPR,1
T-MOBILE,2007,3,ASDASDASDGH-T619ASDASDASDASDASDASDBTMB,1
T-MOBILE,2007,4,ASDASDASDGH-T609PWBTMB,1
Other,2007,4,ASDASDASDPH-123900ZKASDASDASDX123R,1
Other,2007,5,ASDASDASDPH-123900ZKASDASDASDX123R,1
VERIZON,2007,5,ASDASDASDCH-123930ZK123VZW,1
VERIZON,2007,6,ASDASDASDCH-U3QWE0ZB123VZW,1
T-MOBILE,2007,6,ASDASDASDGH-T329NASDASDASDBTMB,1
AT&T,2007,7,ASDASDASDGH-123ASD0ASDZRC123TT,1
AT&T,2007,7,ASDASDASDGH-I60ASDZKB123TT,1
SPRINT,2007,7,ASDASDASDPH-123900PK123ASDASDASDPR,1
SPRINT,2007,8,ASDASDASDPH-1236QWE0ZK123ASDASDASDPR,1
CRICKET,2007,8,ASDASDASDCH-1238ASD0ZR123CRI,1
AT&T,2007,9,ASDASDASDGH-12311ASDZK123123TT,1
AT&T,2007,9,ASDASDASDGH-I60ASDZKB123TT,1
