Campaign_Name,Audience,Version,Subject_Line,Deployment_Date,Delivered,numOpened,Open_Rate,Click_to_Open_Rate,Click_Rate,Unsub_Rate
"57_BRX Welcome Stream",,,,"2013-04-29 00:00:00",0,1,0.5000,0.0000,0.0000,0.0000
"57_BRX Welcome Stream",,2B,,"2013-04-30 00:00:00",764,155,0.1987,0.1226,0.0244,0.0000
"57_BRX Welcome Stream",,T1,,"2013-06-26 00:00:00",1641,492,0.2937,0.2317,0.0681,0.0054
"57_BRX Welcome Stream",,T3,,"2013-03-28 00:00:00",620,127,0.1997,0.1260,0.0252,0.0031
AR_PRC_AB4_Resend,,,S4,"2013-07-08 00:00:00",74,28,0.3784,0.3214,0.1216,0.0000
AR_PRC_Trigger,,,S3,"2014-05-19 00:00:00",3,3,1.0000,0.6667,0.6667,0.0000
AR_PRC_Trigger,,,S4,"2014-02-27 00:00:00",145,89,0.6138,0.5843,0.3586,0.0000
AR_PRC_Trigger,,"brandx Alpha Beta 3",S4,"2013-10-20 00:00:00",50,26,0.5200,0.5385,0.2800,0.0400
AR_PRC_Trigger,,"brandx Alpha X 4",S4,"2013-09-22 00:00:00",490,261,0.5327,0.3831,0.2041,0.0020
AR_PRC_Trigger,,"BRX Alpha  Beta 3",S4,"2014-04-15 00:00:00",191,132,0.6875,0.7197,0.4948,0.0052
AR_PRC_Trigger,,"BRX Alpha  Beta 3 Best Buy",S4,"2014-02-23 00:00:00",9,7,0.7778,0.5714,0.4444,0.0000
AR_PRC_Trigger,,"BRX Alpha  Beta 3 Kids",S4,"2014-07-07 00:00:00",8,8,1.0000,0.8750,0.8750,0.0000
AR_PRC_Trigger,,"BRX Alpha  Beta 3 Lite",S4,"2014-12-25 00:00:00",49,22,0.4490,0.4545,0.2041,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta 10.1 2014",S4,"2014-06-24 00:00:00",65,54,0.8308,0.8519,0.7077,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta 10.1 2014 TMB",S4,"2014-06-05 00:00:00",26,12,0.4615,0.8333,0.3846,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta 3",S4,"2014-03-20 00:00:00",2816,1177,0.4171,0.4477,0.1867,0.0004
AR_PRC_Trigger,,"BRX Alpha Beta 4",S4,"2014-10-17 00:00:00",1532,652,0.4250,0.4908,0.2086,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta 8",S4,"2014-02-18 00:00:00",8,7,0.8750,0.7143,0.6250,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta 8 ARR",S4,"2013-12-08 00:00:00",12,10,0.8333,0.9000,0.7500,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta Pro",S4,"2015-01-28 00:00:00",27,21,0.7778,0.3333,0.2593,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta Pro Verizon",S4,"2014-03-17 00:00:00",17,15,0.8824,0.4667,0.4118,0.0000
AR_PRC_Trigger,,"BRX Alpha Beta side",S4,"2015-01-17 00:00:00",194,94,0.4821,0.4894,0.2359,0.0051
AR_PRC_Trigger,,"BRX Alpha Gamma",S3,"2013-11-29 00:00:00",8,5,0.6250,0.2000,0.1250,0.0000
AR_PRC_Trigger,,"BRX Alpha Gamma 2 Neo",S3,"2014-09-27 00:00:00",2,0,0.0000,0.0000,0.0000,0.0000
AR_PRC_Trigger,,"BRX Alpha Gamma Fit",S3,"2014-09-22 00:00:00",2,2,1.0000,0.0000,0.0000,0.0000
AR_PRC_Trigger,,"BRX Alpha Gifts Negative",S5,"2014-10-17 00:00:00",260,100,0.3846,0.2300,0.0885,0.0077
AR_PRC_Trigger,,"BRX Alpha Perks Negative",S5,"2014-04-08 00:00:00",121,45,0.3719,0.4000,0.1488,0.0000
AR_PRC_Trigger,,"BRX Alpha S 6",S4,"2015-04-16 00:00:00",258,102,0.3953,0.4216,0.1667,0.0000
