Month, Year, Carrier_Name, model_id, Num_Customers
9,2005,Other,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
11,2005,Other,ASDASDASDGH-P10ASDBASDASDASD123CIN,1
12,2005,Other,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,2
12,2005,Other,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
1,2006,Other,ASDASDASDGH-P10ASDBASDASDASD123CIN,1
1,2006,Other,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,2
1,2006,Other,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
2,2006,Other,ASDASDASDPH-123900ZKASDASDASDX123R,2
2,2006,Other,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
3,2006,Other,ASDASDASDPH-123800IASDASDASDASDASDASDX123R,1
3,2006,Other,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,2
4,2006,Other,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
4,2006,Other,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
5,2006,Other,ASDASDASDPH-123ASDQWE0DASDASDASDASDASDASDX123R,1
6,2006,Other,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
9,2006,Other,ASDASDASDPH-123900ZKASDASDASDX123R,1
11,2006,Other,ASDASDASDPH-1238QWE0ZKASDASDASDX123R,1
12,2006,SPRINT,ASDASDASDPH-1236QWE0ZK123ASDASDASDPR,1
3,2007,T-MOBILE,ASDASDASDGH-T619ASDASDASDASDASDASDBTMB,1
4,2007,Other,ASDASDASDPH-123900ZKASDASDASDX123R,1
4,2007,T-MOBILE,ASDASDASDGH-T609PWBTMB,1
5,2007,Other,ASDASDASDPH-123900ZKASDASDASDX123R,1
5,2007,VERIZON,ASDASDASDCH-123930ZK123VZW,1
6,2007,T-MOBILE,ASDASDASDGH-T329NASDASDASDBTMB,1
6,2007,VERIZON,ASDASDASDCH-U3QWE0ZB123VZW,1
7,2007,AT&T,ASDASDASDGH-I60ASDZKB123TT,1
7,2007,AT&T,ASDASDASDGH-123ASD0ASDZRC123TT,1
7,2007,SPRINT,ASDASDASDPH-123900PK123ASDASDASDPR,1
8,2007,CRICKET,ASDASDASDCH-1238ASD0ZR123CRI,1
8,2007,SPRINT,ASDASDASDPH-1236QWE0ZK123ASDASDASDPR,1
9,2007,AT&T,ASDASDASDGH-12311ASDZK123123TT,1
9,2007,AT&T,ASDASDASDGH-I60ASDZKB123TT,1
9,2007,US CELLULAR,ASDASDASDCH-U520ZN123UASDASDASDC,1
10,2007,AT&T,ASDASDASDGH-12311ASDZK123123TT,2
10,2007,AT&T,ASDASDASDGH-123ASD2ASDZK123123TT,2
10,2007,AT&T,ASDASDASDGH-123QWE3ASDZR123123TT,2
10,2007,AT&T,ASDASDASDGH-I60ASDZKB123TT,1
10,2007,AT&T,ASDASDASDGH-CQWE1ASDZRB123TT,1
10,2007,T-MOBILE,ASDASDASDGH-T329NASDASDASDBTMB,3
11,2007,AT&T,ASDASDASDGH-123ASD3ASDHB123123TT,1
11,2007,AT&T,ASDASDASDGH-123QWE3ASDZR123123TT,1
11,2007,T-MOBILE,ASDASDASDGH-T329NASDASDASDBTMB,1
11,2007,T-MOBILE,ASDASDASDGH-T619ASDASDASDASDASDASDBTMB,1
12,2007,AT&T,ASDASDASDGH-123QWE3ASDD123123123TT,1
12,2007,AT&T,ASDASDASDGH-123ASDQWEASDBB123123TT,1
12,2007,AT&T,ASDASDASDGH-I61ASDZK123123TT,1
12,2007,US CELLULAR,ASDASDASDCH-U3QWE0ZB123UASDASDASDC,1
1,2008,AT&T,ASDASDASDGH-123ASD3ASDHB123123TT,1
1,2008,AT&T,ASDASDASDGH-123QWE3ASDD123123123TT,1
1,2008,AT&T,ASDASDASDGH-123ASD2ASDZK123123TT,1
1,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,5
1,2008,AT&T,ASDASDASDGH-123ASD0ASDNBC123TT,1
1,2008,AT&T,ASDASDASDGH-123ASD0ASDZRC123TT,1
1,2008,AT&T,ASDASDASDGH-CQWE1ASDCDB123TT,1
1,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,1
1,2008,VERIZON,ASDASDASDCH-UASD00ZN123VZW,1
1,2008,VERIZON,ASDASDASDCH-UASDQWE0ZK123VZW,1
1,2008,VERIZON,ASDASDASDCH-1238ASD0MASDASDASD123VZW,1
1,2008,VERIZON,ASDASDASDCH-UQWEASD0NB123VZW,1
2,2008,AT&T,ASDASDASDGH-123ASD3ASDHB123123TT,1
2,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,2
2,2008,AT&T,ASDASDASDGH-123QWE3ASDCD123123TT,1
2,2008,SPRINT,ASDASDASDPH-M300ZR123ASDASDASDPR,1
2,2008,VERIZON,ASDASDASDCH-UASD00ZN123VZW,1
2,2008,VERIZON,ASDASDASDCH-IASD60ZK123VZW,1
2,2008,VERIZON,ASDASDASDCH-U3QWE0ZB123VZW,1
3,2008,AT&T,ASDASDASDGH-123ASD3ASDHB123123TT,1
3,2008,AT&T,ASDASDASDGH-123ASD0ASDNBC123TT,1
3,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,2
3,2008,SPRINT,ASDASDASDPH-M300ZR123ASDASDASDPR,1
3,2008,VERIZON,ASDASDASDCH-UASDQWE0ZK123VZW,1
3,2008,VERIZON,ASDASDASDCH-UASDQWE0CD123VZW,1
3,2008,VERIZON,ASDASDASDCH-U5QWE0MASDASDASD123VZW,1
3,2008,VERIZON,ASDASDASDCH-UASD00ZP123VZW,1
4,2008,AT&T,ASDASDASDGH-123QWE3ASDD123123123TT,1
4,2008,AT&T,ASDASDASDGH-123ASD0ASDD123C123TT,1
4,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,3
4,2008,AT&T,ASDASDASDGH-I60ASDZKB123TT,2
4,2008,T-MOBILE,ASDASDASDGH-T619ASDASDASDASDASDASDBTMB,1
4,2008,VERIZON,ASDASDASDCH-UASDQWE0ZK123VZW,1
4,2008,VERIZON,ASDASDASDCH-U5QWE0LB123VZW,1
4,2008,VERIZON,ASDASDASDCH-U5QWE0MASDASDASD123VZW,1
5,2008,AT&T,ASDASDASDGH-I61ASDZK123123TT,4
5,2008,AT&T,ASDASDASDGH-123QWE3ASDCD123123TT,1
5,2008,AT&T,ASDASDASDGH-12351ASDZK123123TT,1
5,2008,AT&T,ASDASDASDGH-123ASD1ASDZK123123TT,1
5,2008,AT&T,ASDASDASDGH-123ASD3ASDZO123123TT,1
5,2008,AT&T,ASDASDASDGH-I61ASDWR123123TT,1
5,2008,SPRINT,ASDASDASDPH-M300ZR123ASDASDASDPR,1
5,2008,T-MOBILE,ASDASDASDGH-TASD29ZKBTMB,1
5,2008,US CELLULAR,ASDASDASDCH-U3QWE0ZB123UASDASDASDC,1
5,2008,VERIZON,ASDASDASDCH-UASD00ZN123VZW,1
5,2008,VERIZON,ASDASDASDCH-1238ASD0MASDASDASDCVZW,1
