campaign_name, audience, version, subject_line, dep_date, delivered, opened, clickers, open_rate, click_to_open_rate, click_rate, unsub_rate
NULL,NULL,NULL,NULL,NULL,7,0,7,0.0000,NULL,1.0000,NULL
57_BRX Welcome Stream,,,,2013-03-30 00:00:00,1,1,1,1.0000,1.0000,1.0000,0.0000
57_BRX Welcome Stream,,2B,,2013-03-26 00:00:00,2,1,1,0.5000,1.0000,0.5000,0.0000
57_BRX Welcome Stream,,2B,,2013-03-29 00:00:00,3,1,2,0.3333,2.0000,0.6667,0.0000
57_BRX Welcome Stream,,2B,,2013-04-02 00:00:00,2,1,1,0.5000,1.0000,0.5000,0.0000
57_BRX Welcome Stream,,2B,,2013-04-28 00:00:00,3,1,2,0.3333,2.0000,0.6667,0.0000
57_BRX Welcome Stream,,2B,,2013-04-29 00:00:00,3,1,2,0.3333,2.0000,0.6667,0.0000
57_BRX Welcome Stream,,2B,,2013-04-30 00:00:00,9,1,4,0.1111,4.0000,0.4444,0.0000
57_BRX Welcome Stream,,2B,,2013-05-02 00:00:00,2,1,1,0.5000,1.0000,0.5000,0.0000
57_BRX Welcome Stream,,2B,,2013-05-05 00:00:00,2,1,1,0.5000,1.0000,0.5000,0.0000
57_BRX Welcome Stream,,2B,,2013-05-06 00:00:00,3,1,2,0.3333,2.0000,0.6667,0.0000
57_BRX Welcome Stream,,2B,,2013-05-12 00:00:00,3,1,2,0.3333,2.0000,0.6667,0.0000
57_BRX Welcome Stream,,2B,,2013-05-14 00:00:00,2,1,1,0.5000,1.0000,0.5000,0.0000
57_BRX Welcome Stream,,2B,,2013-05-21 00:00:00,2,1,1,0.5000,1.0000,0.5000,0.0000
57_BRX Welcome Stream,,2B,,2013-05-30 00:00:00,2,1,1,0.5000,1.0000,0.5000,0.0000
57_BRX Welcome Stream,,2B,,2013-06-03 00:00:00,4,3,1,0.7500,0.3333,0.2500,0.0000
57_BRX Welcome Stream,,2B,,2013-06-06 00:00:00,6,4,2,0.6667,0.5000,0.3333,0.0000
57_BRX Welcome Stream,,2B,,2013-06-09 00:00:00,10,3,7,0.3000,2.3333,0.7000,0.0000
57_BRX Welcome Stream,,2B,,2013-06-10 00:00:00,16,2,13,0.1250,6.5000,0.8125,0.0000
57_BRX Welcome Stream,,2B,,2013-06-11 00:00:00,21,6,15,0.2857,2.5000,0.7143,0.0000
