state,MONTHNAME(CustomerAccount.regDate),YEAR(CustomerAccount.regDate),permission,CustomerIDCount
Virginia,April,2002,1,1
California,April,2003,1,1
Florida,April,2003,1,1
Virginia,April,2003,1,1
California,April,2004,0,1
California,April,2004,1,1
Florida,April,2004,0,1
North Dakota,April,2004,0,1
Texas,April,2004,1,1
Virginia,April,2004,0,1
,April,2005,0,1
Alabama,April,2005,1,1
California,April,2005,0,2
California,April,2005,1,2
Florida,April,2005,0,1
Florida,April,2005,1,5
New York,April,2005,0,1
New York,April,2005,1,3
North Dakota,April,2005,0,1
North Dakota,April,2005,1,1
Pennsylvania,April,2005,1,1
Tennessee,April,2005,1,1
Virginia,April,2005,0,1
,April,2006,0,1
Arizona,April,2006,1,2
Arkansas,April,2006,1,1
California,April,2006,0,2
California,April,2006,1,5
Florida,April,2006,1,1
Idaho,April,2006,1,1
Minnesota,April,2006,0,1
Minnesota,April,2006,1,4
New York,April,2006,0,1
New York,April,2006,1,2
North Carolina,April,2006,1,2
Ohio,April,2006,1,2
Oregon,April,2006,1,1
Pennsylvania,April,2006,1,4
Texas,April,2006,1,1
Virginia,April,2006,1,2
Washington,April,2006,1,1
,April,2007,0,1
California,April,2007,0,2
California,April,2007,1,2
Florida,April,2007,1,2
Indiana,April,2007,0,1
Louisiana,April,2007,1,1
Maryland,April,2007,0,1
Maryland,April,2007,1,1
Minnesota,April,2007,1,1
New York,April,2007,1,3
Oregon,April,2007,1,1
Pennsylvania,April,2007,1,1
Virginia,April,2007,0,1
Virginia,April,2007,1,1
Wisconsin,April,2007,1,1
,April,2008,0,2
California,April,2008,0,1
California,April,2008,1,5
Colorado,April,2008,1,3
Florida,April,2008,0,1
Florida,April,2008,1,4
Georgia,April,2008,1,1
Idaho,April,2008,1,4
Indiana,April,2008,1,1
Kansas,April,2008,1,1
Kentucky,April,2008,1,2
Maryland,April,2008,1,1
Michigan,April,2008,1,1
Minnesota,April,2008,1,1
New York,April,2008,1,2
North Carolina,April,2008,1,2
North Dakota,April,2008,0,1
Oregon,April,2008,0,1
Oregon,April,2008,1,1
Pennsylvania,April,2008,1,2
Texas,April,2008,1,2
Virginia,April,2008,0,1
Virginia,April,2008,1,4
California,April,2009,0,1
California,April,2009,1,3
Colorado,April,2009,0,1
Connecticut,April,2009,1,1
Georgia,April,2009,1,1
Idaho,April,2009,1,1
Kentucky,April,2009,0,1
Maryland,April,2009,1,1
Michigan,April,2009,1,1
Missouri,April,2009,1,1
New York,April,2009,0,2
New York,April,2009,1,1
North Carolina,April,2009,0,1
North Carolina,April,2009,1,2
North Dakota,April,2009,1,1
Oregon,April,2009,1,1
Pennsylvania,April,2009,1,1
South Carolina,April,2009,1,1
Tennessee,April,2009,1,1
Utah,April,2009,1,1
Virginia,April,2009,0,2
Virginia,April,2009,1,1
Washington,April,2009,1,1
,April,2010,0,2
,April,2010,1,3
Arkansas,April,2010,1,1
California,April,2010,1,11
Colorado,April,2010,1,1
Connecticut,April,2010,0,1
Connecticut,April,2010,1,3
Florida,April,2010,0,3
Florida,April,2010,1,5
Georgia,April,2010,1,1
Idaho,April,2010,1,2
Indiana,April,2010,0,1
Indiana,April,2010,1,3
Kentucky,April,2010,0,2
Kentucky,April,2010,1,2
Massachusetts,April,2010,1,1
Minnesota,April,2010,1,1
New York,April,2010,0,3
New York,April,2010,1,8
North Carolina,April,2010,1,2
North Dakota,April,2010,1,2
Oregon,April,2010,0,1
Oregon,April,2010,1,4
Pennsylvania,April,2010,0,3
Pennsylvania,April,2010,1,5
Texas,April,2010,1,1
Virginia,April,2010,1,1
,April,2011,0,9
,April,2011,1,3
Arizona,April,2011,1,1
California,April,2011,0,5
California,April,2011,1,9
Colorado,April,2011,1,2
Connecticut,April,2011,0,2
Connecticut,April,2011,1,3
Florida,April,2011,0,4
Florida,April,2011,1,7
Georgia,April,2011,1,1
Idaho,April,2011,0,5
Idaho,April,2011,1,3
Indiana,April,2011,0,3
Indiana,April,2011,1,1
Iowa,April,2011,1,1
Kentucky,April,2011,0,4
Kentucky,April,2011,1,7
Maryland,April,2011,0,3
Maryland,April,2011,1,3
Minnesota,April,2011,1,3
Missouri,April,2011,1,1
New York,April,2011,1,8
North Carolina,April,2011,0,1
North Carolina,April,2011,1,1
North Dakota,April,2011,0,2
North Dakota,April,2011,1,2
Ohio,April,2011,0,2
Ohio,April,2011,1,1
Oregon,April,2011,1,1
Pennsylvania,April,2011,1,3
South Carolina,April,2011,1,1
Texas,April,2011,0,4
Texas,April,2011,1,2
Virginia,April,2011,1,5
,April,2012,0,5
,April,2012,1,3
California,April,2012,0,7
California,April,2012,1,9
Colorado,April,2012,0,1
Colorado,April,2012,1,4
Connecticut,April,2012,0,3
Florida,April,2012,0,3
Florida,April,2012,1,9
Idaho,April,2012,0,1
Idaho,April,2012,1,2
Indiana,April,2012,0,2
Indiana,April,2012,1,5
Kentucky,April,2012,0,3
Kentucky,April,2012,1,2
Maryland,April,2012,1,1
Minnesota,April,2012,0,2
Minnesota,April,2012,1,3
New Jersey,April,2012,1,1
New York,April,2012,0,3
New York,April,2012,1,8
North Carolina,April,2012,0,5
North Carolina,April,2012,1,3
North Dakota,April,2012,0,2
North Dakota,April,2012,1,4
Ohio,April,2012,0,1
Ohio,April,2012,1,1
Oregon,April,2012,1,3
Pennsylvania,April,2012,1,1
Texas,April,2012,0,2
Texas,April,2012,1,4
Virginia,April,2012,0,2
Virginia,April,2012,1,2
,April,2013,0,18
,April,2013,1,26
Alabama,April,2013,1,2
Arkansas,April,2013,1,2
California,April,2013,0,58
California,April,2013,1,72
Colorado,April,2013,0,10
Colorado,April,2013,1,7
Connecticut,April,2013,0,12
Connecticut,April,2013,1,15
Florida,April,2013,0,30
Florida,April,2013,1,35
Georgia,April,2013,0,1
Georgia,April,2013,1,2
Idaho,April,2013,0,16
