carrier	device_model	MONTHNAME(DeviceRegistration.registration_date)	YEAR(DeviceRegistration.registration_date)	COUNT(*)
	1ASD2N-BL123CK	April	2013	1
	ASD0ASD	December	2013	1
	ASDASDASDASDASDASDG-2200123R/Z123	December	2013	1
	ASDASDASDASDASDASDG-3100GB/Z123	December	2013	1
	ASDASDASDASDASDASDG-3500CR/Z123	December	2013	1
	ASDASDASDASDASDASDG-P2100ASDASDASD/Z123	December	2013	1
	ASDASDASDASDASDASDG-P2100T/Z123	December	2013	1
	ASDASDASDASDASDASDG-QWE100GB/Z123	December	2013	1
	ASDASDASDBCGH980623ASD123	December	2013	1
	ASDASDASDC-D10ASD/X123123	December	2013	1
	ASDASDASDC-D353/X123123	December	2013	1
	ASDASDASDC-D363/X123123	December	2013	1
	ASDASDASDC-D3ASD2/X123123	December	2013	1
	ASDASDASDC-D5000/X123123	December	2013	1
	ASDASDASDC-DC16QWE/X123123	December	2013	1
	ASDASDASDC-DQWE53/X123123	December	2013	1
	ASDASDASDC-DX103/X123123	December	2013	1
	ASDASDASDC-DX205/X123123	December	2013	1
	ASDASDASDC-L810/X123123	December	2013	1
	ASDASDASDC-L901/X123123	December	2013	1
	ASDASDASDC-L906/X123123	December	2013	1
	ASDASDASDC-MX20EL/QVC	December	2013	1
	ASDASDASDCASDASDASD-26UCQWE	December	2013	1
	ASDASDASDCD60QWE0	December	2013	1
	ASDASDASDCH	December	2013	1
	ASDASDASDCH C QWE1ASD	December	2013	1
	ASDASDASDCH-123310	December	2013	1
	ASDASDASDCH-123310ASDASDASDV/X123R	December	2013	1
	ASDASDASDCH-123530	December	2013	1
	ASDASDASDCH-1235ASD0NBUX123R	December	2013	1
	ASDASDASDCH-123610	December	2013	1
	ASDASDASDCH-123650	December	2013	1
	ASDASDASDCH-123650ASDASDASDASDASDASDVX123R	December	2013	1
	ASDASDASDCH-1236ASD0	December	2013	1
	ASDASDASDCH-1236ASD0ZASDASDASDVX123R	December	2013	1
	ASDASDASDCH-123850BKVX123R	December	2013	1
	ASDASDASDCH-1238ASD0ZK123UASDASDASDC	December	2013	1
	ASDASDASDCH-123950WRXX123R	December	2013	1
	ASDASDASDCH-1239ASD0ZASDASDASDVX123R	December	2013	1
	ASDASDASDCH-123ASD90	December	2013	1
	ASDASDASDCH-6100	December	2013	1
	ASDASDASDCH-8500	December	2013	1
	ASDASDASDCH-I100ZK123X123R	December	2013	1
	ASDASDASDCH-I220MB123MTR	December	2013	1
	ASDASDASDCH-I300	December	2013	1
	ASDASDASDCH-I510R123BVZW	December	2013	1
	ASDASDASDCH-I535RWBVZW	December	2013	1
	ASDASDASDCH-I5QWE5ZKBVZW	December	2013	1
	ASDASDASDCH-I600	December	2013	1
	ASDASDASDCH-I830MASDASDASD123ASDASDASDPR	December	2013	1
	ASDASDASDCH-IASD30	December	2013	1
	ASDASDASDCH-IASD30ZKVX123R	December	2013	1
	ASDASDASDCH-LC11ZK123UASDASDASDC	December	2013	1
	ASDASDASDCH-LC11ZK123VZW	December	2013	1
	ASDASDASDCH-N150	December	2013	1
	ASDASDASDCH-N200	December	2013	1
	ASDASDASDCH-N300	December	2013	1
	ASDASDASDCH-R210LASDASDASD123MTR	December	2013	1
	ASDASDASDCH-R300ZR123MTR	December	2013	1
	ASDASDASDCH-R350TG123X123R	December	2013	1
	ASDASDASDCH-R350WR123MTR	December	2013	1
	ASDASDASDCH-R350ZW123X123R	December	2013	1
	ASDASDASDCH-R351TG123123TL	December	2013	1
	ASDASDASDCH-R500ZR123123TL	December	2013	1
	ASDASDASDCH-R631LB123X123R	December	2013	1
	ASDASDASDCH-R900D123123MTR	December	2013	1
	ASDASDASDCH-RQWE00ZASDASDASD123MTR	December	2013	1
	ASDASDASDCH-RQWE10ZK123MTR	December	2013	1
	ASDASDASDCH-RQWE10ZR123MTR	December	2013	1
	ASDASDASDCH-RQWE20D123123MTR	December	2013	1
	ASDASDASDCH-RQWE30ZASDASDASDP123TL	December	2013	1
	ASDASDASDCH-RQWE50ZR123MTR	December	2013	1
	ASDASDASDCH-T300	December	2013	1
	ASDASDASDCH-U3QWE0MASDASDASD123123TL	December	2013	1
	ASDASDASDCH-U520NK123MTR	December	2013	1
	ASDASDASDCH-U820XK123VZW	December	2013	1
	ASDASDASDCL350	December	2013	1
	ASDASDASDCL810	December	2013	1
	ASDASDASDCX-3QWE05FW/X123123	December	2013	1
	ASDASDASDCX-3QWE05W/X123C	December	2013	1
	ASDASDASDCX-QWE216F/X123123	December	2013	1
	ASDASDASDCX-QWE521F/X123123	December	2013	1
	ASDASDASDCX-QWE623F/X123123	December	2013	1
	ASDASDASDCX-QWE826FN/X123123	December	2013	1
	ASDASDASDE-W16QWEC/123MBN	December	2013	1
	ASDASDASDEC-R350WR123MTR	December	2013	1
	ASDASDASDEC-R560MB123CRI	December	2013	1
	ASDASDASDECIASDASD0DB123VZW	December	2013	1
	ASDASDASDECUASDQWE0Z123123VZW	December	2013	1
	ASDASDASDECUQWE10MASDASDASD123VZW	December	2013	1
	ASDASDASDEG-12315ASDZKV123TT	December	2013	1
	ASDASDASDEG-12388ASDZK123123TT	December	2013	1
	ASDASDASDEG12311ASDZK123123TT	December	2013	1
	ASDASDASDEG12313ASDIB123123TT	December	2013	1
	ASDASDASDEG12316ASDLB123123TT	December	2013	1
	ASDASDASDEG12383ASDDK123123TT	December	2013	1
	ASDASDASDEG12386ASDZK123123TT	December	2013	1
	ASDASDASDEG1238ASDASDRB123123TT	December	2013	1
	ASDASDASDEG123ASD0ASDD123123CIN	December	2013	1
	ASDASDASDEG123ASD1ASDZK123123TT	December	2013	1
	ASDASDASDEG123ASD3ASDZO123123TT	December	2013	1
	ASDASDASDEG123ASD6ASD123G123123TT	December	2013	1
	ASDASDASDEGCQWE1ASDZD123CIN	December	2013	1
	ASDASDASDEGI60ASDZK123CIN	December	2013	1
	ASDASDASDEGI60ASDZKB123TT	December	2013	1
	ASDASDASDEGI61ASDEB123123TT	December	2013	1
	ASDASDASDEGI61ASDWR123123TT	December	2013	1
	ASDASDASDEGI63ASDM123123123TT	December	2013	1
	ASDASDASDEGI90ASDZK123123TT	December	2013	1
	ASDASDASDEGTQWE59LG123TMB	December	2013	1
	ASDASDASDEK-1000/Z123	December	2013	1
	ASDASDASDEK-2000/Z123	December	2013	1
	ASDASDASDEP-M910ZK123ASDASDASDPR	December	2013	1
	ASDASDASDEPM5QWE0ZK123ASDASDASDPR	December	2013	1
	ASDASDASDEPM800ZK123ASDASDASDPR	December	2013	1
	ASDASDASDEPM800ZKBASDASDASDPR	December	2013	1
	ASDASDASDEPM810H123123ASDASDASDPR	December	2013	1
	ASDASDASDGH	December	2013	1
	ASDASDASDGH 1 80ASD	December	2013	1
	ASDASDASDGH 123 11ASD	December	2013	1
	ASDASDASDGH 123 ASD0ASD	December	2013	1
	ASDASDASDGH 123 ASD0ASDC	December	2013	1
	ASDASDASDGH 123 QWE3ASD	December	2013	1
	ASDASDASDGH C QWE1ASD	December	2013	1
	ASDASDASDGH I 60ASD	December	2013	1
	ASDASDASDGH T 319	December	2013	1
	ASDASDASDGH T 629	December	2013	1
	ASDASDASDGH X 50ASD	December	2013	1
	ASDASDASDGH-12311ASD	December	2013	1
	ASDASDASDGH-12311ASDZKC123TT	December	2013	1
	ASDASDASDGH-12312ASDWRX123TT	December	2013	1
	ASDASDASDGH-12315ASDZKV123TT	December	2013	1
	ASDASDASDGH-123226HB123GEN	December	2013	1
	ASDASDASDGH-12323ASDZRZ123TT	December	2013	1
	ASDASDASDGH-12386ASDZKZ123TT	December	2013	1
	ASDASDASDGH-1238ASDASDRBZ123TT	December	2013	1
	ASDASDASDGH-123ASD0ASD	December	2013	1
	ASDASDASDGH-123ASD0ASDC	December	2013	1
	ASDASDASDGH-123ASD0ASDD123123CIN	December	2013	1
	ASDASDASDGH-123ASDASDASDEGZ123TT	December	2013	1
	ASDASDASDGH-123QWE36ZK123GEN	December	2013	1
	ASDASDASDGH-123QWE3ASD	December	2013	1
	ASDASDASDGH-ASDASDASD105	December	2013	1
	ASDASDASDGH-ASDASDASD105ZASDASDASD123TMB	December	2013	1
	ASDASDASDGH-ASDASDASD30ASD	December	2013	1
	ASDASDASDGH-ASDASDASD30ASDASDASDASDASDASDASD123CIN	December	2013	1
	ASDASDASDGH-C20ASD	December	2013	1
	ASDASDASDGH-C20ASDCASDASDASD123CIN	December	2013	1
	ASDASDASDGH-C225	December	2013	1
	ASDASDASDGH-CQWE16	December	2013	1
	ASDASDASDGH-CQWE16ZK123GEN	December	2013	1
	ASDASDASDGH-CQWE1ASD	December	2013	1
	ASDASDASDGH-CQWE1ASDCD123CIN	December	2013	1
	ASDASDASDGH-CQWE1ASDZD123CIN	December	2013	1
	ASDASDASDGH-D35ASDMASDASDASD123CIN	December	2013	1
	ASDASDASDGH-D80ASD	December	2013	1
	ASDASDASDGH-D80ASDZK123CIN	December	2013	1
	ASDASDASDGH-DQWE0ASDZK123CIN	December	2013	1
	ASDASDASDGH-DQWE15	December	2013	1
	ASDASDASDGH-E105	December	2013	1
	ASDASDASDGH-E105CASDASDASD123TMB	December	2013	1
	ASDASDASDGH-E315	December	2013	1
	ASDASDASDGH-E315CASDASDASD123TMB	December	2013	1
	ASDASDASDGH-E315CASDASDASDBTMB	December	2013	1
	ASDASDASDGH-E316	December	2013	1
	ASDASDASDGH-E316CASDASDASD123123WASDASDASD	December	2013	1
	ASDASDASDGH-E31ASD	December	2013	1
	ASDASDASDGH-E31ASDCASDASDASDBCIN	December	2013	1
	ASDASDASDGH-E335	December	2013	1
	ASDASDASDGH-E335IBBTMB	December	2013	1
	ASDASDASDGH-E635OK123TMB	December	2013	1
	ASDASDASDGH-E635OKBTMB	December	2013	1
	ASDASDASDGH-EASD15	December	2013	1
	ASDASDASDGH-EASD15E123123TMB	December	2013	1
	ASDASDASDGH-I33ASDZBM123TT	December	2013	1
	ASDASDASDGH-I33ASDZKN123TT	December	2013	1
	ASDASDASDGH-I60ASD	December	2013	1
	ASDASDASDGH-I60ASDZK123CIN	December	2013	1
	ASDASDASDGH-I61ASDZKZ123TT	December	2013	1
	ASDASDASDGH-N105	December	2013	1
	ASDASDASDGH-N625	December	2013	1
	ASDASDASDGH-P10ASD	December	2013	1
	ASDASDASDGH-P20ASD	December	2013	1
	ASDASDASDGH-PASD35	December	2013	1
	ASDASDASDGH-PASD35MASDASDASD123TMB	December	2013	1
	ASDASDASDGH-PASDASDASD	December	2013	1
	ASDASDASDGH-PASDASDASDKASDASDASD123CIN	December	2013	1
	ASDASDASDGH-R225	December	2013	1
	ASDASDASDGH-R225M	December	2013	1
	ASDASDASDGH-T109OGBTMB	December	2013	1
	ASDASDASDGH-T139I123BTMK	December	2013	1
	ASDASDASDGH-T201VASDASDASDGTRF	December	2013	1
	ASDASDASDGH-T209NB123TMB	December	2013	1
	ASDASDASDGH-T209NBBTMB	December	2013	1
	ASDASDASDGH-T219	December	2013	1
	ASDASDASDGH-T219ASDASDASDR123TMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRBTMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRITMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRPTMB	December	2013	1
	ASDASDASDGH-T219ASDASDASDRWTMB	December	2013	1
	ASDASDASDGH-T229ASDASDASDR123TMB	December	2013	1
	ASDASDASDGH-T229ASDASDASDRBTMB	December	2013	1
	ASDASDASDGH-T239D123123TMB	December	2013	1
	ASDASDASDGH-T239D123WTMB	December	2013	1
	ASDASDASDGH-T309DASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T309DASDASDASDBTMB	December	2013	1
	ASDASDASDGH-T319NBBTMB	December	2013	1
	ASDASDASDGH-T319NBWTMB	December	2013	1
	ASDASDASDGH-T329	December	2013	1
	ASDASDASDGH-T329NASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T329TKBTMB	December	2013	1
	ASDASDASDGH-T329TKWTMB	December	2013	1
	ASDASDASDGH-T339RR123TMB	December	2013	1
	ASDASDASDGH-T339RRBTMB	December	2013	1
	ASDASDASDGH-T369ZK123TMB	December	2013	1
	ASDASDASDGH-T399RN123TMB	December	2013	1
	ASDASDASDGH-T3QWE9123GCTMB	December	2013	1
	ASDASDASDGH-T3QWE9EB123TMB	December	2013	1
	ASDASDASDGH-T509DV123TMB	December	2013	1
	ASDASDASDGH-T509DVBTMB	December	2013	1
	ASDASDASDGH-T519TASDASDASDBTMB	December	2013	1
	ASDASDASDGH-T539123BBTMB	December	2013	1
	ASDASDASDGH-T539123BDTMB	December	2013	1
	ASDASDASDGH-T609PW123TMB	December	2013	1
	ASDASDASDGH-T619ASDASDASDASDASDASD123TMB	December	2013	1
	ASDASDASDGH-T629	December	2013	1
