Campaign Name,Audience,Version,Subject Line,Deployment Date,Unique Emails Delivered,Unique Emails Opened,Unique Clickers,Open Rate,Click Rate,Click To Open Rate,Unsub Rate
57_BRX Welcome Stream,,2B,,4/30/2013,3,1,2,0.3333,0.6667,2,0
57_BRX Welcome Stream,,2B,,5/6/2013,1,1,0,1,0,0,0
57_BRX Welcome Stream,,2B,,5/7/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,2B,,5/11/2013,5,0,0,0,0,0,0
57_BRX Welcome Stream,,2B,,5/15/2013,2,0,0,0,0,0,0
57_BRX Welcome Stream,,2B,,5/28/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,2B,,6/10/2013,12,2,1,0.1667,0.0833,0.5,0
57_BRX Welcome Stream,,2B,,6/15/2013,10,0,0,0,0,0,0
57_BRX Welcome Stream,,2B,,6/22/2013,19,5,1,0.2632,0.0526,0.2,0
57_BRX Welcome Stream,,2B,,6/28/2013,12,2,0,0.1667,0,0,0
57_BRX Welcome Stream,,2B,,7/1/2013,10,0,0,0,0,0,0
57_BRX Welcome Stream,,2B,,7/12/2013,9,2,0,0.2222,0,0,0
57_BRX Welcome Stream,,T1,,4/18/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,T1,,4/24/2013,5,3,2,0.6,0.4,0.66666667,0
57_BRX Welcome Stream,,T1,,4/27/2013,3,1,0,0.3333,0,0,0
57_BRX Welcome Stream,,T1,,5/3/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,T1,,5/4/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,T1,,5/8/2013,5,1,0,0.2,0,0,0
57_BRX Welcome Stream,,T1,,5/12/2013,2,2,0,1,0,0,0
57_BRX Welcome Stream,,T1,,5/19/2013,4,1,1,0.25,0.25,1,1
57_BRX Welcome Stream,,T1,,5/20/2013,2,1,0,0.5,0,0,0
57_BRX Welcome Stream,,T1,,5/24/2013,1,1,1,1,1,1,1
57_BRX Welcome Stream,,T1,,5/25/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,T1,,6/7/2013,32,10,1,0.3125,0.0313,0.1,0.1
57_BRX Welcome Stream,,T1,,6/9/2013,56,17,3,0.3036,0.0536,0.17647059,0
57_BRX Welcome Stream,,T1,,6/12/2013,25,9,2,0.36,0.08,0.22222222,0
57_BRX Welcome Stream,,T1,,6/13/2013,25,9,2,0.36,0.08,0.22222222,0
57_BRX Welcome Stream,,T1,,6/19/2013,43,14,2,0.3256,0.0465,0.14285714,0
57_BRX Welcome Stream,,T1,,6/25/2013,33,8,1,0.2424,0.0303,0.125,0.125
57_BRX Welcome Stream,,T1,,6/26/2013,33,13,5,0.3939,0.1515,0.38461538,0
57_BRX Welcome Stream,,T1,,6/27/2013,24,8,3,0.3333,0.125,0.375,0
57_BRX Welcome Stream,,T1,,6/30/2013,42,18,2,0.4286,0.0476,0.11111111,0
57_BRX Welcome Stream,,T1,,7/9/2013,29,5,0,0.1724,0,0,0
57_BRX Welcome Stream,,T1,,7/10/2013,29,7,0,0.2414,0,0,0
57_BRX Welcome Stream,,T1,,7/12/2013,48,16,3,0.3333,0.0625,0.1875,0.0625
57_BRX Welcome Stream,,T3,,5/7/2013,3,1,1,0.3333,0.3333,1,0
57_BRX Welcome Stream,,T3,,5/13/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,T3,,5/14/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,T3,,5/18/2013,5,1,1,0.2,0.2,1,1
57_BRX Welcome Stream,,T3,,5/22/2013,2,1,0,0.5,0,0,0
57_BRX Welcome Stream,,T3,,6/4/2013,1,0,0,0,0,0,0
57_BRX Welcome Stream,,T3,,6/17/2013,12,4,1,0.3333,0.0833,0.25,0.25
57_BRX Welcome Stream,,T3,,6/22/2013,10,3,1,0.3,0.1,0.33333333,0
57_BRX Welcome Stream,,T3,,6/29/2013,19,4,0,0.2105,0,0,0
57_BRX Welcome Stream,,T3,,7/1/2013,19,5,0,0.2632,0,0,0
57_BRX Welcome Stream,,T3,,7/5/2013,12,4,1,0.3333,0.0833,0.25,0
57_BRX Welcome Stream,,T3,,7/19/2013,9,2,0,0.2222,0,0,0
AR_PRC_Trigger,,BRX Alpha Beta 3,S4,2/6/2014,1,1,1,1,1,1,0
AR_PRC_Trigger,,BRX Alpha Beta 3,S4,6/5/2014,13,4,4,0.3077,0.3077,1,0
AR_PRC_Trigger,,BRX Alpha Beta 3,S4,9/20/2014,9,4,3,0.4444,0.3333,0.75,0
AR_PRC_Trigger,,BRX Alpha Beta 3,S4,10/2/2014,3,1,1,0.3333,0.3333,1,0
AR_PRC_Trigger,,BRX Alpha Beta 3,S4,1/30/2015,2,1,1,0.5,0.5,1,0
AR_PRC_Trigger,,BRX Alpha Beta 3,S4,4/12/2015,8,2,1,0.25,0.125,0.5,0
AR_PRC_Trigger,,BRX Alpha Beta 4,S4,10/17/2014,33,15,11,0.4545,0.3333,0.73333333,0
AR_PRC_Trigger,,BRX Alpha Beta 4,S4,12/25/2014,9,4,2,0.4444,0.2222,0.5,0
AR_PRC_Trigger,,BRX Alpha Beta side,S4,3/27/2015,2,1,1,0.5,0.5,1,0
AR_PRC_Trigger,,BRX Alpha Tab 4,S4,8/1/2014,3,2,2,0.6667,0.6667,1,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,11/29/2013,22,13,9,0.5909,0.4091,0.69230769,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,2/10/2014,8,4,1,0.5,0.125,0.25,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,2/17/2014,10,6,2,0.6,0.2,0.33333333,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,2/19/2014,10,5,1,0.5,0.1,0.2,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,2/26/2014,16,10,2,0.625,0.125,0.2,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,3/1/2014,24,11,7,0.4583,0.2917,0.63636364,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,5/23/2014,15,6,4,0.4,0.2667,0.66666667,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,5/30/2014,17,9,4,0.5294,0.2353,0.44444444,0
AR_PRC_Trigger,,BRX Alpha X 4,S4,6/4/2014,128,76,22,0.5938,0.1719,0.28947368,0.0132
