CustomerCount, Carrier, Month, Device, Name
"7","AIO","April","2015","Alpha X 123"
"3","AIO","April","2015","Alpha X 987"
"3","AIO","August","2014","Alpha X 987"
"2","AIO","December","2014","Alpha X 123"
"1","AIO","December","2014","Alpha X 987"
"3","AIO","February","2015","Alpha X 123"
"2","AIO","February","2015","Alpha X 987"
"1","AIO","January","2014","Alpha X 123"
"1","AIO","January","2015","Alpha X 123"
"4","AIO","January","2015","Alpha X 987"
"1","AIO","July","2014","Alpha X 123"
"3","AIO","July","2014","Alpha X 987"
"3","AIO","June","2014","Alpha X 123"
"4","AIO","March","2015","Alpha X 123"
"5","AIO","March","2015","Alpha X 987"
"1","AIO","November","2014","Alpha X 123"
"1","AIO","November","2014","Alpha X 987"
"7","AIO","October","2014","Alpha X 123"
"4","AIO","October","2014","Alpha X 987"
"1","AIO","September","2014","Alpha X 123"
"2","AIO","September","2014","Alpha X 987"
"1","ALLTEL","April","2010","Feature Phone"
"1","ALLTEL","February","2009","Feature Phone"
"2","ALLTEL","February","2010","Feature Phone"
"1","ALLTEL","January","2009","Feature Phone"
"1","ALLTEL","June","2010","Feature Phone"
"2","AT&T","April","2008","Feature Phone"
"5","AT&T","April","2008","Other Smartphone"
"4","AT&T","April","2009","Feature Phone"
"7","AT&T","April","2009","Other Smartphone"
"19","AT&T","April","2010","Feature Phone"
"2","AT&T","April","2010","Other Smartphone"
"9","AT&T","April","2011","Alpha S"
"2","AT&T","April","2011","Alpha Tablet"
"16","AT&T","April","2011","Feature Phone"
"3","AT&T","April","2011","Other Smartphone"
"3","AT&T","April","2012","Alpha Beta   "
"1","AT&T","April","2012","Alpha Beta 8.0"
"1","AT&T","April","2012","Alpha Beta II"
"1","AT&T","April","2012","Alpha Mega   "
"3","AT&T","April","2012","Alpha S"
"5","AT&T","April","2012","Alpha S II"
"2","AT&T","April","2012","Alpha S III"
"3","AT&T","April","2012","Alpha X 123"
"2","AT&T","April","2012","Feature Phone"
"10","AT&T","April","2012","Other Smartphone"
"1","AT&T","April","2013","Alpha Beta   "
"12","AT&T","April","2013","Alpha Beta II"
"1","AT&T","April","2013","Alpha Camera"
"3","AT&T","April","2013","Alpha Express"
"2","AT&T","April","2013","Alpha Rugby Pro"
"2","AT&T","April","2013","Alpha S"
"5","AT&T","April","2013","Alpha S II"
"34","AT&T","April","2013","Alpha S III"
"3","AT&T","April","2013","Alpha Tablet 2 10.1"
"19","AT&T","April","2013","Alpha X 123"
"1","AT&T","April","2013","Feature Phone"
"3","AT&T","April","2013","Other Smartphone"
"2","AT&T","April","2014","Alpha Beta   "
"54","AT&T","April","2014","Alpha Beta 3"
"2","AT&T","April","2014","Alpha Beta 8.0"
"11","AT&T","April","2014","Alpha Beta II"
"1","AT&T","April","2014","Alpha Rugby Pro"
"1","AT&T","April","2014","Alpha S II"
"28","AT&T","April","2014","Alpha S III"
"18","AT&T","April","2014","Alpha S III Mini"
"2","AT&T","April","2014","Alpha Tablet 2 10.1"
"8","AT&T","April","2014","Alpha Tablet 3 7.0"
"116","AT&T","April","2014","Alpha X 123"
"1","AT&T","April","2014","Alpha X 123 Zoom"
"210","AT&T","April","2014","Alpha X 987"
"3","AT&T","April","2014","Other Smartphone"
"8","AT&T","April","2015","Alpha Alpha"
"23","AT&T","April","2015","Alpha Beta 3"
"37","AT&T","April","2015","Alpha Beta 4"
"7","AT&T","April","2015","Alpha Beta 4 Edge"
"1","AT&T","April","2015","Alpha Beta 8.0"
"2","AT&T","April","2015","Alpha Beta II"
"1","AT&T","April","2015","Alpha Beta Pro 12.2"
"2","AT&T","April","2015","Alpha Express"
"3","AT&T","April","2015","Alpha Mega 2"
"1","AT&T","April","2015","Alpha S II"
"6","AT&T","April","2015","Alpha S III"
"1","AT&T","April","2015","Alpha S III Mini"
"1","AT&T","April","2015","Alpha Tablet 2 10.1"
"1","AT&T","April","2015","Alpha Tablet 3 7.0"
"1","AT&T","April","2015","Alpha Tablet 4 10.1"
"8","AT&T","April","2015","Alpha Tablet 4 8.0"
"1","AT&T","April","2015","Alpha Tablet 8.9"
"5","AT&T","April","2015","Alpha Tablet S 10.5"
"1","AT&T","April","2015","Alpha Tablet S 8.4"
"29","AT&T","April","2015","Alpha X 123"
"2","AT&T","April","2015","Alpha X 123 Mini"
"71","AT&T","April","2015","Alpha X 987"
"42","AT&T","April","2015","Alpha X 987 Active"
"1","AT&T","April","2015","Alpha X 987 Mini"
"56","AT&T","April","2015","Alpha Z 7"
"47","AT&T","April","2015","Alpha Z 7 edge"
"1","AT&T","April","2015","Feature Phone"
"1","AT&T","April","2015","Other Smartphone"
"8","AT&T","August","2008","Feature Phone"
"7","AT&T","August","2008","Other Smartphone"
"7","AT&T","August","2009","Feature Phone"
"1","AT&T","August","2009","Other Smartphone"
"7","AT&T","August","2010","Alpha S"
"23","AT&T","August","2010","Feature Phone"
"2","AT&T","August","2010","Other Smartphone"
"4","AT&T","August","2011","Alpha S"
"1","AT&T","August","2011","Alpha Tablet"
"6","AT&T","August","2011","Feature Phone"
"7","AT&T","August","2011","Other Smartphone"
"8","AT&T","August","2012","Alpha Beta   "
"3","AT&T","August","2012","Alpha Beta II"
"11","AT&T","August","2012","Alpha S II"
"39","AT&T","August","2012","Alpha S III"
"3","AT&T","August","2012","Alpha X 123"
"4","AT&T","August","2012","Feature Phone"
"2","AT&T","August","2012","Other Smartphone"
"1","AT&T","August","2013","Alpha Beta   "
"10","AT&T","August","2013","Alpha Beta 8.0"
"21","AT&T","August","2013","Alpha Beta II"
"2","AT&T","August","2013","Alpha Express"
"1","AT&T","August","2013","Alpha Mega   "
"1","AT&T","August","2013","Alpha Rugby Pro"
"38","AT&T","August","2013","Alpha S III"
"2","AT&T","August","2013","Alpha Tablet 2 10.1"
"74","AT&T","August","2013","Alpha X 123"
"1","AT&T","August","2013","Feature Phone"
"1","AT&T","August","2013","Other Smartphone"
"1","AT&T","August","2014","Alpha Beta   "
"44","AT&T","August","2014","Alpha Beta 3"
"2","AT&T","August","2014","Alpha Beta 8.0"
"13","AT&T","August","2014","Alpha Beta II"
"10","AT&T","August","2014","Alpha Express"
"1","AT&T","August","2014","Alpha Rugby Pro"
"1","AT&T","August","2014","Alpha S II"
"19","AT&T","August","2014","Alpha S III"
"6","AT&T","August","2014","Alpha S III Mini"
"5","AT&T","August","2014","Alpha Tablet 3 7.0"
"4","AT&T","August","2014","Alpha Tablet 4 10.1"
"71","AT&T","August","2014","Alpha X 123"
"7","AT&T","August","2014","Alpha X 123 Mini"
"2","AT&T","August","2014","Alpha X 123 Zoom"
"94","AT&T","August","2014","Alpha X 987"
"46","AT&T","August","2014","Alpha X 987 Active"
"2","AT&T","December","2007","Feature Phone"
"1","AT&T","December","2007","Other Smartphone"
"7","AT&T","December","2008","Feature Phone"
"5","AT&T","December","2008","Other Smartphone"
"7","AT&T","December","2009","Feature Phone"
"20","AT&T","December","2010","Alpha S"
"1","AT&T","December","2010","Alpha Tablet"
"18","AT&T","December","2010","Feature Phone"
"4","AT&T","December","2010","Other Smartphone"
"4","AT&T","December","2011","Alpha S"
"6","AT&T","December","2011","Alpha S II"
"1","AT&T","December","2011","Alpha S III"
"1","AT&T","December","2011","Alpha Tablet 8.9"
"1","AT&T","December","2011","Alpha X 123"
"4","AT&T","December","2011","Feature Phone"
"10","AT&T","December","2011","Other Smartphone"
"2","AT&T","December","2012","Alpha Beta   "
"27","AT&T","December","2012","Alpha Beta II"
"2","AT&T","December","2012","Alpha Express"
"3","AT&T","December","2012","Alpha Rugby Pro"
"5","AT&T","December","2012","Alpha S II"
"44","AT&T","December","2012","Alpha S III"
"4","AT&T","December","2012","Alpha X 123"
"2","AT&T","December","2012","Feature Phone"
"6","AT&T","December","2012","Other Smartphone"
"1","AT&T","December","2013","Alpha Beta   "
"42","AT&T","December","2013","Alpha Beta 3"
"10","AT&T","December","2013","Alpha Beta 8.0"
"9","AT&T","December","2013","Alpha Beta II"
"3","AT&T","December","2013","Alpha Mega   "
"1","AT&T","December","2013","Alpha Rugby Pro"
"1","AT&T","December","2013","Alpha S"
"2","AT&T","December","2013","Alpha S II"
"32","AT&T","December","2013","Alpha S III"
"5","AT&T","December","2013","Alpha S III Mini"
"3","AT&T","December","2013","Alpha Tablet 2 10.1"
"6","AT&T","December","2013","Alpha Tablet 3 7.0"
"106","AT&T","December","2013","Alpha X 123"
"1","AT&T","December","2013","Alpha X 123 Zoom"
"2","AT&T","December","2013","HomeSync"
"2","AT&T","December","2013","Other Smartphone"
"8","AT&T","December","2014","Alpha Alpha"
"1","AT&T","December","2014","Alpha Beta   "
"33","AT&T","December","2014","Alpha Beta 3"
"89","AT&T","December","2014","Alpha Beta 4"
"17","AT&T","December","2014","Alpha Beta 4 Edge"
"4","AT&T","December","2014","Alpha Beta 8.0"
"7","AT&T","December","2014","Alpha Beta II"
"1","AT&T","December","2014","Alpha Express"
"5","AT&T","December","2014","Alpha Mega 2"
"1","AT&T","December","2014","Alpha Rugby Pro"
"17","AT&T","December","2014","Alpha S III"
"1","AT&T","December","2014","Alpha S III Mini"
"1","AT&T","December","2014","Alpha Tablet 2 10.1"
"7","AT&T","December","2014","Alpha Tablet 3 7.0"
"1","AT&T","December","2014","Alpha Tablet 4 10.1"
"5","AT&T","December","2014","Alpha Tablet 4 8.0"
"4","AT&T","December","2014","Alpha Tablet S 10.5"
"95","AT&T","December","2014","Alpha X 123"
"3","AT&T","December","2014","Alpha X 123 Mini"
"92","AT&T","December","2014","Alpha X 987"
"39","AT&T","December","2014","Alpha X 987 Active"
"2","AT&T","February","2008","Feature Phone"
"2","AT&T","February","2008","Other Smartphone"
"4","AT&T","February","2009","Feature Phone"
"2","AT&T","February","2009","Other Smartphone"
"11","AT&T","February","2010","Feature Phone"
"1","AT&T","February","2010","Other Smartphone"
